user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Hiten#5040,5,0,0,0,0,0,0,0,0,2,10,17,44,0,0,3,0,0,22,2,1,0,2,0,108
evae#8174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FatMac#8726,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,19
Tatsumaki#8792,1,0,1,0,0,0,0,0,3,0,4,0,7,1,1,0,0,0,1,2,0,2,0,0,23
ari5#1107,1,0,0,0,0,0,0,0,0,0,6,0,13,4,0,0,0,0,0,0,0,0,0,0,24
Armando#9710,17,12,11,0,0,0,0,0,0,0,0,0,0,0,3,0,2,29,15,10,0,0,0,0,99
bokchoiii#2235,12,15,9,0,5,0,0,0,0,0,0,6,14,2,0,4,0,0,0,8,0,7,3,3,88
Heyzeus#5605,1,0,0,0,0,0,0,0,2,0,0,0,11,6,12,1,0,1,7,1,15,4,3,1,65
crackprosh#2221,1,2,1,0,0,0,0,0,0,0,2,10,29,12,24,1,14,11,23,6,0,3,6,2,147
SaltyPirate#1806,0,2,0,0,0,0,0,0,0,2,2,0,32,0,10,0,0,3,14,16,12,10,5,1,109
zithers#4885,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Shinroken#0512,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
soup#8488,0,0,4,6,3,0,0,0,0,0,0,0,0,0,19,0,4,0,4,7,0,0,0,0,47
Hosea#8894,0,0,0,3,0,0,0,0,4,5,6,5,4,16,1,0,3,0,1,5,5,7,0,0,65
MrMallard#2805,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5
ChrasSC#3466,0,0,0,0,1,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18
Skullface#8293,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
cdorner#9745,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,2,5,2,1,1,0,18
wlofaubro#7636,0,0,0,0,0,0,0,3,10,13,8,39,20,0,37,2,5,0,21,4,67,10,8,0,247
breezyexcursion#9570,0,0,0,0,0,0,0,1,5,19,9,65,28,32,18,1,0,0,0,0,26,4,4,0,212
Barinade88#3367,0,0,0,0,0,0,0,0,4,2,2,5,61,25,8,3,14,0,25,8,3,2,0,1,163
John#6516,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11
MegaTech#3319,0,0,0,0,0,0,0,0,0,5,0,0,8,10,0,1,0,0,0,0,0,0,0,0,24
renavlt#4826,0,0,0,0,0,0,0,0,0,0,6,3,8,6,5,0,2,0,15,3,4,4,0,0,56
Chucky#6989,0,0,0,0,0,0,0,0,0,0,4,0,1,2,6,0,0,0,0,0,0,1,2,0,16
TK#9181,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0,0,0,0,19,0,0,0,66
Lee🐧#0890,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
teepan#5598,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,10
total,50,34,29,10,10,2,2,5,30,64,61,155,331,123,144,20,49,47,150,77,161,57,34,8,1653
